iter	Passed	Remaining
1369	26187	8219
1370	26212	8202
1371	26233	8183
1372	26249	8163
1373	26265	8143
1374	26282	8123
1375	26297	8103
1376	26315	8083
1377	26339	8066
1378	26368	8050
1379	26387	8031
1380	26409	8012
1381	26428	7993
1382	26447	7974
1383	26469	7956
1384	26493	7938
1385	26518	7920
1386	26540	7902
1387	26558	7883
1388	26581	7865
1389	26599	7845
1390	26621	7827
1391	26647	7810
1392	26668	7791
1393	26686	7772
1394	26704	7753
1395	26726	7734
1396	26746	7715
1397	26764	7696
1398	26790	7678
1399	26812	7660
1400	26836	7643
1401	26854	7623
1402	26872	7603
1403	26888	7584
1404	26910	7565
1405	26930	7546
1406	26947	7527
1407	26965	7507
1408	26985	7488
1409	27006	7469
1410	27024	7450
1411	27044	7431
1412	27061	7411
1413	27081	7392
1414	27105	7375
1415	27121	7355
1416	27143	7336
1417	27162	7317
1418	27179	7297
1419	27203	7279
1420	27223	7260
1421	27245	7242
1422	27263	7223
1423	27282	7203
1424	27303	7185
1425	27318	7165
1426	27340	7146
1427	27359	7127
1428	27385	7109
1429	27405	7091
1430	27422	7071
1431	27440	7051
1432	27462	7033
1433	27475	7012
1434	27492	6992
1435	27513	6974
1436	27528	6954
1437	27550	6935
1438	27568	6916
1439	27590	6897
1440	27608	6878
1441	27630	6859
1442	27648	6840
1443	27669	6821
1444	27684	6801
1445	27700	6781
1446	27722	6762
1447	27742	6744
1448	27763	6725
1449	27784	6706
1450	27803	6687
1451	27822	6668
1452	27841	6648
1453	27859	6629
1454	27874	6609
1455	27903	6592
1456	27929	6575
1457	27950	6556
1458	27970	6537
1459	27993	6519
1460	28010	6499
1461	28030	6480
1462	28050	6461
1463	28068	6441
1464	28084	6421
1465	28102	6402
1466	28131	6385
1467	28152	6366
1468	28176	6348
1469	28196	6329
1470	28217	6311
1471	28236	6291
1472	28254	6272
1473	28274	6253
1474	28293	6234
1475	28310	6214
1476	28329	6195
1477	28346	6175
1478	28367	6156
1479	28383	6136
1480	28406	6118
1481	28429	6100
1482	28447	6080
1483	28470	6062
1484	28491	6043
1485	28510	6024
1486	28533	6005
1487	28554	5987
1488	28576	5968
1489	28593	5948
1490	28611	5929
1491	28631	5910
1492	28651	5891
1493	28676	5873
1494	28703	5855
1495	28721	5836
1496	28744	5817
1497	28768	5799
1498	28784	5779
1499	28806	5761
1500	28829	5742
1501	28847	5723
1502	28873	5705
1503	28897	5687
1504	28918	5668
1505	28936	5648
1506	28960	5630
1507	28981	5611
1508	28999	5592
1509	29021	5573
1510	29037	5553
1511	29062	5535
1512	29080	5516
1513	29100	5497
1514	29130	5479
1515	29152	5461
1516	29172	5442
1517	29192	5423
1518	29213	5404
1519	29235	5385
1520	29255	5366
1521	29273	5346
1522	29290	5327
1523	29307	5307
1524	29324	5287
1525	29340	5268
1526	29359	5248
1527	29383	5230
1528	29402	5211
1529	29431	5193
1530	29451	5174
1531	29468	5155
1532	29488	5135
1533	29513	5117
1534	29529	5097
1535	29542	5077
1536	29560	5058
1537	29576	5038
1538	29599	5019
1539	29626	5001
1540	29642	4982
1541	29661	4962
1542	29679	4943
1543	29702	4924
1544	29719	4905
1545	29743	4886
1546	29766	4868
1547	29788	4849
1548	29806	4829
1549	29823	4810
1550	29842	4790
1551	29863	4772
1552	29887	4753
